商品名称,商品价格,商品编码,tokens
贝蒂斯双瓶礼盒橄榄油,42,101,贝蒂斯 双瓶 礼盒 橄榄油
充电强光灯灯珠,33,101,充电 强光 灯灯 珠
代收天燃气费,77,101,代收 天燃气 费
胆碱脂酶试剂盒,31,101,胆碱 脂酶 试剂盒
迪士尼公主学生书包,75,101,迪士尼 公主 学生 书包
菇品世家金钱菇,29,101,菇品 世家 金钱 菇
皇子碗装香辣牛肉薯粉,35,101,皇子 碗装 香辣 牛肉 薯粉
惠宜盐带壳核桃,34,101,惠宜 盐 带 壳 核桃
加强型全功能补片,35,101,加强型 全功能 补片
洁净洗衣液立袋,25,101,洁净 洗衣液 立袋
康师傅甜酥饼干,79,101,康师傅 甜 酥 饼干
孔乙己清爽型特酿黄酒,35,101,孔乙己 清爽型 特酿 黄酒
拉簧座六角手柄长,32,101,拉簧 座 六角 手柄 长
利莲黄金奇异果礼盒,40,101,利莲 黄金 奇异果 礼盒
铝合金桥架弯通盖,75,101,铝合金 桥架 弯通盖
茂林盐焗腰果,26,101,茂林 盐 焗 腰果
年糕杨紫甘薯,79,101,年糕 杨紫 甘薯
欧普一控一四位转换器F11005个,20,101,欧普一控 四位 转换器 F11005
全无敌电热蚊香液无香送,77,101,全 无敌 电热 蚊香 液无香 送
太平猴魁绿茶,75,101,太平 猴魁 绿茶
唐人神常德酱板鸭,71,101,唐人 神 常德 酱 板鸭
天地粮人有机十谷米,30,101,天地 粮 人 有机 十谷米
威王除重垢洁厕净,77,101,威王 重垢洁 厕净
维尔拉白葡萄酒,79,101,维尔 拉 白葡萄酒
西点台北优格芝士,45,101,西点 台北 优格 芝士
西夫拉姆树龄干红葡萄酒,34,101,西夫 拉姆 树龄 干红 葡萄酒
新奇实用礼品情人节礼物送女友玫瑰香皂花礼盒,79,101,新奇 实用 礼品 情人节 礼物 送 女友 玫瑰 香皂 花 礼盒
鑫成基SOGA金边彩色小果斗,39,101,鑫 成基 SOGA 金边 彩色 小果 斗
炫迈夹心口香糖,29,101,炫迈 夹心 口香糖
燕赵衡湖烤鸭蛋美味组,26,101,燕赵 衡湖 烤鸭 蛋 美味 组
伊利安慕希希腊风味酸奶,77,101,伊利 安慕希 希腊 风味 酸奶
玉蝴蝶针织裤,35,101,玉 蝴蝶 针织 裤
越南白心火龙果,27,101,越南 白心 火龙果
长袖T恤布朗熊,25,101,长袖 T恤 布朗 熊
贝亲喂哺配件奶瓶奶嘴刷EA0级版,27,101,贝亲 哺 配件 奶瓶 奶嘴 刷 EA0 级版
不锈钢厨门拉手,77,101,不锈钢 厨 门拉手
柴烧小福鹿正山小种,74,101,柴烧 小福鹿 正山 小种
川汉子麻辣牛肉干,29,101,川 汉子 麻辣 牛肉干
代收天燃气费,77,101,代收 天燃气 费
胆碱脂酶试剂盒,31,101,胆碱 脂酶 试剂盒
等长双头螺柱,28,101,等长 双头 螺柱
迪士尼公主学生书包,75,101,迪士尼 公主 学生 书包
港伦豆沙月饼,25,101,港伦 豆沙月饼
工序生产日报,40,101,工序 生产 日报
菇品世家金钱菇,29,101,菇品 世家 金钱 菇
