########################################################################################
          |labels    |recall    |precision |F1        |mcc       |F1_micro  |mcc_micro |
LR        ------------------------------------------------------------------------------
          |c1        |0.3395    |0.4670    |0.3932    |0.3359    |0.4065    |0.3405    |
          |c2        |1.0000    |0.7391    |0.8500    |0.8392    |          |          |
          |c3        |0.0000    |0.0000    |0.0000    |0.0000    |          |          |
          |c4        |0.3466    |0.4350    |0.3858    |0.3269    |          |          |
          |c5        |0.0000    |0.0000    |0.0000    |0.0000    |          |          |
          |c6        |0.0000    |0.0000    |0.0000    |0.0000    |          |          |
          |c7        |0.0258    |0.2051    |0.0458    |0.0300    |          |          |
          |c8        |0.0000    |0.0000    |0.0000    |-0.0095   |          |          |
          |c9        |0.8282    |0.2281    |0.3577    |0.2202    |          |          |
          |c10       |1.0000    |0.9655    |0.9825    |0.9811    |          |          |
SVM       ------------------------------------------------------------------------------
          |c1        |0.9779    |0.8466    |0.9075    |0.8981    |0.5617    |0.5130    |
          |c2        |1.0000    |0.9931    |0.9966    |0.9961    |          |          |
          |c3        |0.1512    |0.2653    |0.1926    |0.1558    |          |          |
          |c4        |0.6534    |0.5359    |0.5889    |0.5400    |          |          |
          |c5        |0.6704    |0.4110    |0.5096    |0.4776    |          |          |
          |c6        |0.1014    |0.1829    |0.1304    |0.0957    |          |          |
          |c7        |0.1935    |0.2429    |0.2154    |0.1171    |          |          |
          |c8        |0.4504    |0.4910    |0.4698    |0.4149    |          |          |
          |c9        |0.3359    |0.3275    |0.3316    |0.2031    |          |          |
          |c10       |1.0000    |0.9949    |0.9975    |0.9972    |          |          |
ConvNet   ------------------------------------------------------------------------------
          |c1        |0.1550    |0.9545    |0.2667    |0.3638    |0.3734    |0.3037    |
          |c2        |1.0000    |0.7769    |0.8744    |0.8643    |          |          |
          |c3        |0.2384    |0.1990    |0.2169    |0.1527    |          |          |
          |c4        |0.2988    |0.6818    |0.4155    |0.4142    |          |          |
          |c5        |0.4972    |0.2673    |0.3477    |0.2959    |          |          |
          |c6        |0.5000    |0.0920    |0.1555    |0.0927    |          |          |
          |c7        |0.0742    |0.1933    |0.1072    |0.0453    |          |          |
          |c8        |0.3058    |0.3203    |0.3129    |0.2395    |          |          |
          |c9        |0.0282    |0.3333    |0.0520    |0.0556    |          |          |
          |c10       |1.0000    |1.0000    |1.0000    |1.0000    |          |          |
ResNet    ------------------------------------------------------------------------------
          |c1        |0.6089    |0.7534    |0.6735    |0.6421    |0.4485    |0.3873    |
          |c2        |0.3253    |1.0000    |0.4909    |0.5462    |          |          |
          |c3        |0.5581    |0.2060    |0.3009    |0.2575    |          |          |
          |c4        |0.5339    |0.6837    |0.5996    |0.5652    |          |          |
          |c5        |0.8547    |0.5134    |0.6415    |0.6297    |          |          |
          |c6        |0.2500    |0.0898    |0.1321    |0.0554    |          |          |
          |c7        |0.2742    |0.2640    |0.2690    |0.1607    |          |          |
          |c8        |0.2562    |0.5905    |0.3573    |0.3487    |          |          |
          |c9        |0.1949    |0.5468    |0.2873    |0.2598    |          |          |
          |c10       |1.0000    |0.9949    |0.9975    |0.9972    |          |          |
########################################################################################
